primary_song_artist_id,primary_song_artist
98,Kool & The Gang
99,Bee Gees
100,Nouvelle Vague
101,Ke$ha
102,Seal
103,Fontella Bass
104,Big & Rich
105,Edwin McCain
106,Sam Cooke
107,Ray LaMontagne
108,Duran Duran
109,Billy Joel
110,ZZ Top
111,Ray Charles
112,Frank Sinatra
113,Avril Lavigne
114,Jennifer Hudson
115,Huey Lewis and the News
116,Rihanna
117,Taylor Swift
118,Five for Fighting
119,The Bangles
120,Billy Preston feat. Syreeta Wright
121,Los Lobos feat. Antonio Banderas
122,Dee C. Lee
123,Lady Gaga
124,Cole Porter feat.Stacey Kent
125,Madcon
126,Ritchie Valens
127,Carl Douglas
128,Mika
129,Kander and Ebb
130,Phil Harris
131,Chuck Berry
132,Bob Seger
133,No Doubt
134,James Brown
135,The Troggs
136,Simple Minds
137,Roy Orbison
138,The Revels
139,Campo
140,Robin Thicke
141,Depeche Mode
142,Tito Puente
143,David Cook
144,Mariah Carey
145,Barry Manilow
146,Lou Bega
147,Little Boots
148,Coldplay
149,Debby Boone
150,Billy & the Beaters
151,Cole Porter
152,Jazmine Sullivan
153,Beyoncé
154,Otis Redding
155,Sonny & Cher
156,Snap!
157,Gotan Project
158,Lillix
159,John Waite
160,Journey
161,La Roux
162,The White Stripes
163,Little Richard
164,Buddy Greco
165,Michael Bublé
166,Bo Diddley
167,Josh Groban
168,"José Feliciano, Ewan McGregor & Jacek Koman"
169,The Primitives
170,Jim Henson & Sam Pottle
171,The Veronicas
172,Prince
173,Simply Red
174,from The King and I
175,Big Bad Voodoo Daddy
176,Touch and Go
177,Evanescence
178,Quantic & Nikodemus
179,Janet Jackson
180,Johnny Rivers
181,Heart
182,Edwin Starr
183,101 Strings Orchestra
184,Robert Palmer
185,King Africa
186,Shakira
187,Kevin Lyttle
188,Chris De Burgh
189,Lady Gaga featuring Colby O'Donis
190,The Clash
191,Dana Glover
192,John Paul Young
193,Lionel Richie & Diana Ross
194,The Black Crowes
195,Ike & Tina Turner
196,Bachman-Turner Overdrive
197,Poison
198,Andy Williams
199,Sérgio Mendes
200,War
201,Letters To Cleo
202,"Harry Connick, Jr."
203,Brooks and Dunn
204,Angel Melendez and the 911 Orchestra
205,from Grease
206,Bob Wilson & his Varsity Rhythm Boys
207,Leona Lewis
208,Gloria Estefan
209,LeAnn Rimes
210,Nelly & Christina Aguilera
211,Rascal Flatts
212,Johnny Pacheco
213,Buddy Holly
214,Liza Minnelli
215,Kaoma
216,Squirrel Nut Zippers
217,Stray Cats
218,Carlos Santana feat. Rob Thomas
219,Fred Wesley & The J.B.'s
220,The Chi-Lites
221,Michael Franti & Spearhead
222,The Brian Setzer Orchestra
223,Teddybears
224,Randy Crawford
225,Lynyrd Skynyrd
226,The Guess Who
227,The Beach Boys
228,The Rolling Stones
229,3 Doors Down
230,Semyon Bychkov & Orchestre de Paris
231,Jem
232,Wild Cherry
233,Henry Mancini
234,Marvin Gaye
235,Filter
236,Rodrigo y Gabriela
237,Orquesta Color Tango de Roberto Alvarez
238,Otros Aires
239,Natalie Cole
240,The Cure
241,Sugarland
242,Akon
243,Jason Mraz
244,Lalo Schifrin & Orchestra Ensemble
245,Ozzy Osbourne
246,Sarah Vaughan
247,Angel & the Mambokats
248,Ryan Shaw
249,Harry Belafonte
250,The Temptations
251,Los Fabulosos Cadillacs
252,Eddie Cochran
253,Tina Turner
254,Della Reese
255,Letters to Cleo
256,Alberto Plaza
257,Brian Setzer Orchestra
258,The Commodores
259,David Sanborn
