"primary_song_artist_id","primary_song_artist"
75,"The Rolling Stones"
76,"Wild Cherry"
77,"Henry Mancini"
78,"Bobby Darin"
79,"Rihanna"
80,"Bon Jovi"
81,"3OH!3 feat. Ke$ha"
82,"Ricky Martin feat. Pitbull"
83,"The Temptations"
84,"Nouvelle Vague"
85,"Ke$ha"
86,"Seal"
87,"Fontella Bass"
88,"Edwin McCain"
89,"Carl Douglas"
90,"Mika"
91,"Kander and Ebb"
92,"Jackie DeShannon"
93,"Edwin Starr"
94,"101 Strings Orchestra"
95,"Robert Palmer"
96,"Elvis Presley"
97,"Erin Bowman"
98,"LunchMoney Lewis"
99,"The Romantics"
100,"The Blues Brothers"
101,"Captain & Tennille[26]"
102,"Fleur East"
103,"Flo Rida feat. Sage the Gemini & Lookas"
104,"Van Morrison"
105,"Natalie Cole"
106,"Jessie J, Ariana Grande & Nicki Minaj"
107,"Rizzle Kicks"
108,"Madonna"
109,"Huey Lewis and the News"
110,"Stevie Wonder"
111,"Spandau Ballet"
112,"Smash Mouth"
113,"Whitney Houston"
114,"The Trammps"
115,"Etta James"
116,"LMFAO feat. Lauren Bennett & GoonRock"
117,"Pink"
118,"Keane"
119,"Meco"
120,"Cee Lo Green"
121,"Queen"
122,"Katy Perry"
123,"Dave Matthews Band"
124,"OneRepublic"
125,"Eliza Doolittle"
126,"Little Mix"
127,"John Lennon"
128,"Maroon 5"
129,"Coldplay"
130,"Nancy Sinatra"
131,"Lloyd feat. Lil Wayne"
132,"Lady Antebellum"
133,"The Wanted"
134," Frankie Valli & The Four Seasons"
135,"Elton John"
136,"Basement Jaxx"
137,"Huey Lewis & the News"
138,"David Guetta feat. Kelly Rowland"
139,"The Cure"
140,"Colbie Caillat"
141,"Flo Rida feat. T-Pain"
142,"Nina Simone"
143,"Michael Bublé"
144,"Aerosmith"
145,"Pixie Lott"
146,"Carrie Underwood"
147,"Avicii feat. Audra Mae"
148,"Debbie Gibson"
149,"Madness"
150,"Beyoncé feat. Jay-Z"
151,"Spice Girls"
152,"Sam Cooke"
153,"Ray LaMontagne"
154,"Duran Duran"
155,"No Doubt"
156,"James Brown"
157,"The Troggs"
158,"Lady Gaga featuring Colby O'Donis"
159,"The Clash"
160,"Dana Glover"
161,"Haddaway"
162,"Luke Bryan"
163,"Mambo Compañeros"
164,"Labelle"
165,"Kenny Loggins"
166,"Mark Ronson feat. Bruno Mars"
167,"Zayde Wølf"
168,"Flo Rida feat. Fitz"
169,"Mary J. Blige"
170,"Ray Charles"
171,"Jess Glynne"
172,"Neil Diamond"
173,"Demi Lovato"
174,"Bruno Mars"
175,"OMI"
176,"OutKast"
177,"Steve Lawrence"
178,"Roger Miller"
179,"Steppenwolf"
180,"Deniece Williams"
181,"Phil Collins"
182,"Della Reese"
183,"Sean Paul"
184,"Adele"
185,"The Isley Brothers"
186,"Icona Pop"
187,"Ellie Goulding"
188,"Pitbull feat. Kesha"
189,"Maroon 5 feat. Christina Aguilera"
190,"David Gray"
191,"Martha & the Vandellas"
192,"Oingo Boingo"
193,"Zedd feat. Foxes"
194,"Marvin Gaye & Tammi Terrell"
195,"Pitbull feat. Chris Brown"
196,"Louis Jordan"
197,"The Pointer Sisters"
198,"Destiny's Child"
199,"Fred Astaire"
200,"Dean Martin"
201,"Mike Posner"
202,"Angel & the Mambokats"
203,"Ryan Shaw"
204,"Barbra Streisand"
205,"Harry Belafonte"
206,"Gloria Estefan"
207,"Lou Bega"
208,"Tom Jones feat. Stereophonics"
