,dance_id,season,week,couple,dance,music,judge,judge_score,total_score,result,score_type,film,broadway_show,classical_music,television_show,team_captain,guest_judge,original_couple,dance_chosen_by,disney_film,tv_show,genre,elvis_music,cirque_du_soleil_show,trio_partner,james_bond_film,dance_&_theme,film_series,music_by_britney_spears,era,musical,music_from_grease,michael_buble_music,horror_film_show,music_by_queen,mentor,villain,music_by_janet_jackson,trio_dance_partner,icon,film_theme,dynamic_duo,professionals,cher_music,icons,stevie_wonder_music,motown_music,couple_list,couple_count,judge_score_count,judge_count
477,477,8,Week 2,Melissa & Tony,Salsa,"""The Cup of Life""—Ricky Martin",Bruno Tonioli, 9,26,Safe,single_score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Melissa & Tony'],1,3,3
478,478,8,Week 2,Gilles & Cheryl,Quickstep,"""Kryptonite""—3 Doors Down",Carrie Ann Inaba,9,27,Safe,single_score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Gilles & Cheryl'],1,3,3
478,478,8,Week 2,Gilles & Cheryl,Quickstep,"""Kryptonite""—3 Doors Down",Len Goodman, 9,27,Safe,single_score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Gilles & Cheryl'],1,3,3
478,478,8,Week 2,Gilles & Cheryl,Quickstep,"""Kryptonite""—3 Doors Down",Bruno Tonioli, 9,27,Safe,single_score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Gilles & Cheryl'],1,3,3
479,479,8,Week 2,Belinda & Jonathan,Salsa,"""Higher""—Gloria Estefan",Carrie Ann Inaba,5,17,Eliminated,single_score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Belinda & Jonathan'],1,3,3
479,479,8,Week 2,Belinda & Jonathan,Salsa,"""Higher""—Gloria Estefan",Len Goodman, 6,17,Eliminated,single_score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Belinda & Jonathan'],1,3,3
479,479,8,Week 2,Belinda & Jonathan,Salsa,"""Higher""—Gloria Estefan",Bruno Tonioli, 6,17,Eliminated,single_score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Belinda & Jonathan'],1,3,3
480,480,9,Week 2,Natalie & Alec,Quickstep,"""I Want You Back""—The Jackson 5",Carrie Ann Inaba,7,21,Safe,single_score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Natalie & Alec'],1,3,3
480,480,9,Week 2,Natalie & Alec,Quickstep,"""I Want You Back""—The Jackson 5",Len Goodman, 7,21,Safe,single_score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Natalie & Alec'],1,3,3
480,480,9,Week 2,Natalie & Alec,Quickstep,"""I Want You Back""—The Jackson 5",Bruno Tonioli, 7,21,Safe,single_score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Natalie & Alec'],1,3,3
481,481,9,Week 2,Chuck & Anna T.,Tango,"""Seven Nation Army""—The White Stripes",Carrie Ann Inaba,6,19,Safe,single_score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Chuck & Anna T.'],1,3,3
481,481,9,Week 2,Chuck & Anna T.,Tango,"""Seven Nation Army""—The White Stripes",Len Goodman, 7,19,Safe,single_score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Chuck & Anna T.'],1,3,3
481,481,9,Week 2,Chuck & Anna T.,Tango,"""Seven Nation Army""—The White Stripes",Bruno Tonioli, 6,19,Safe,single_score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Chuck & Anna T.'],1,3,3
482,482,9,Week 2,Melissa & Mark,Jive,"""Long Tall Sally""—Little Richard",Carrie Ann Inaba,7,19,Safe,single_score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Melissa & Mark'],1,3,3
482,482,9,Week 2,Melissa & Mark,Jive,"""Long Tall Sally""—Little Richard",Len Goodman, 6,19,Safe,single_score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Melissa & Mark'],1,3,3
482,482,9,Week 2,Melissa & Mark,Jive,"""Long Tall Sally""—Little Richard",Bruno Tonioli, 6,19,Safe,single_score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Melissa & Mark'],1,3,3
483,483,9,Week 2,Michael & Anna D.,Quickstep,"""Too Darn Hot""—Buddy Greco",Carrie Ann Inaba,7,20,Safe,single_score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Michael & Anna D.'],1,3,3
483,483,9,Week 2,Michael & Anna D.,Quickstep,"""Too Darn Hot""—Buddy Greco",Len Goodman, 7,20,Safe,single_score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Michael & Anna D.'],1,3,3
483,483,9,Week 2,Michael & Anna D.,Quickstep,"""Too Darn Hot""—Buddy Greco",Bruno Tonioli, 6,20,Safe,single_score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Michael & Anna D.'],1,3,3
484,484,9,Week 2,Debi & Maks,Tango,"""El Tango de Roxanne""—José Feliciano, Ewan McGregor & Jacek Koman",Carrie Ann Inaba,7,21,Bottom two,single_score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Debi & Maks'],1,3,3
484,484,9,Week 2,Debi & Maks,Tango,"""El Tango de Roxanne""—José Feliciano, Ewan McGregor & Jacek Koman",Len Goodman, 7,21,Bottom two,single_score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Debi & Maks'],1,3,3
484,484,9,Week 2,Debi & Maks,Tango,"""El Tango de Roxanne""—José Feliciano, Ewan McGregor & Jacek Koman",Bruno Tonioli, 7,21,Bottom two,single_score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Debi & Maks'],1,3,3
485,485,9,Week 2,Louie & Chelsie,Jive,"""Crash""—The Primitives",Carrie Ann Inaba,6,19,Safe,single_score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Louie & Chelsie'],1,3,3
485,485,9,Week 2,Louie & Chelsie,Jive,"""Crash""—The Primitives",Len Goodman, 7,19,Safe,single_score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Louie & Chelsie'],1,3,3
485,485,9,Week 2,Louie & Chelsie,Jive,"""Crash""—The Primitives",Bruno Tonioli, 6,19,Safe,single_score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Louie & Chelsie'],1,3,3
486,486,9,Week 2,Aaron & Karina,Quickstep,"""The Muppet Show Theme""—Jim Henson & Sam Pottle",Carrie Ann Inaba,9,27,Safe,single_score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Aaron & Karina'],1,3,3
486,486,9,Week 2,Aaron & Karina,Quickstep,"""The Muppet Show Theme""—Jim Henson & Sam Pottle",Len Goodman, 9,27,Safe,single_score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Aaron & Karina'],1,3,3
486,486,9,Week 2,Aaron & Karina,Quickstep,"""The Muppet Show Theme""—Jim Henson & Sam Pottle",Bruno Tonioli, 9,27,Safe,single_score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Aaron & Karina'],1,3,3
487,487,10,Week 5: Movie Week,Chad & Cheryl,Quickstep,"""The Bare Necessities""—Phil Harris",Carrie Ann Inaba,6,18,Safe,single_score,The Jungle Book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Chad & Cheryl'],1,3,3
487,487,10,Week 5: Movie Week,Chad & Cheryl,Quickstep,"""The Bare Necessities""—Phil Harris",Len Goodman, 6,18,Safe,single_score,The Jungle Book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Chad & Cheryl'],1,3,3
487,487,10,Week 5: Movie Week,Chad & Cheryl,Quickstep,"""The Bare Necessities""—Phil Harris",Bruno Tonioli, 6,18,Safe,single_score,The Jungle Book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Chad & Cheryl'],1,3,3
488,488,10,Week 5: Movie Week,Erin & Maks,Jive,"""You Never Can Tell""—Chuck Berry",Carrie Ann Inaba,7,22,Safe,single_score,Pulp Fiction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Erin & Maks'],1,3,3
488,488,10,Week 5: Movie Week,Erin & Maks,Jive,"""You Never Can Tell""—Chuck Berry",Len Goodman, 7,22,Safe,single_score,Pulp Fiction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Erin & Maks'],1,3,3
488,488,10,Week 5: Movie Week,Erin & Maks,Jive,"""You Never Can Tell""—Chuck Berry",Bruno Tonioli, 8,22,Safe,single_score,Pulp Fiction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Erin & Maks'],1,3,3
489,489,10,Week 5: Movie Week,Jake & Chelsie,Cha-cha-cha,"""Old Time Rock and Roll""—Bob Seger",Carrie Ann Inaba,8,23,Safe,single_score,Risky Business,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Jake & Chelsie'],1,3,3
489,489,10,Week 5: Movie Week,Jake & Chelsie,Cha-cha-cha,"""Old Time Rock and Roll""—Bob Seger",Len Goodman, 7,23,Safe,single_score,Risky Business,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Jake & Chelsie'],1,3,3
489,489,10,Week 5: Movie Week,Jake & Chelsie,Cha-cha-cha,"""Old Time Rock and Roll""—Bob Seger",Bruno Tonioli, 8,23,Safe,single_score,Risky Business,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Jake & Chelsie'],1,3,3
490,490,10,Week 5: Movie Week,Pamela & Damian,Quickstep,"""9 to 5""—Dolly Parton",Carrie Ann Inaba,7,21,Bottom two,single_score,9 to 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Pamela & Damian'],1,3,3
490,490,10,Week 5: Movie Week,Pamela & Damian,Quickstep,"""9 to 5""—Dolly Parton",Len Goodman, 6,21,Bottom two,single_score,9 to 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Pamela & Damian'],1,3,3
490,490,10,Week 5: Movie Week,Pamela & Damian,Quickstep,"""9 to 5""—Dolly Parton",Bruno Tonioli, 8,21,Bottom two,single_score,9 to 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Pamela & Damian'],1,3,3
491,491,10,Week 5: Movie Week,Kate & Tony,Foxtrot,"""Don't You (Forget About Me)""—Simple Minds",Carrie Ann Inaba,5,15,Eliminated,single_score,The Breakfast Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Kate & Tony'],1,3,3
491,491,10,Week 5: Movie Week,Kate & Tony,Foxtrot,"""Don't You (Forget About Me)""—Simple Minds",Len Goodman, 5,15,Eliminated,single_score,The Breakfast Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Kate & Tony'],1,3,3
491,491,10,Week 5: Movie Week,Kate & Tony,Foxtrot,"""Don't You (Forget About Me)""—Simple Minds",Bruno Tonioli, 5,15,Eliminated,single_score,The Breakfast Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Kate & Tony'],1,3,3
492,492,10,Week 5: Movie Week,Nicole & Derek,Tango,"""Oh, Pretty Woman""—Roy Orbison",Carrie Ann Inaba,10,29,Safe,single_score,Pretty Woman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Nicole & Derek'],1,3,3
492,492,10,Week 5: Movie Week,Nicole & Derek,Tango,"""Oh, Pretty Woman""—Roy Orbison",Len Goodman, 9,29,Safe,single_score,Pretty Woman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Nicole & Derek'],1,3,3
492,492,10,Week 5: Movie Week,Nicole & Derek,Tango,"""Oh, Pretty Woman""—Roy Orbison",Bruno Tonioli, 10,29,Safe,single_score,Pretty Woman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Nicole & Derek'],1,3,3
493,493,10,Week 5: Movie Week,Evan & Anna,Rumba,"""I Don't Want to Miss a Thing""—Aerosmith",Carrie Ann Inaba,9,27,Safe,single_score,Armageddon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Evan & Anna'],1,3,3
493,493,10,Week 5: Movie Week,Evan & Anna,Rumba,"""I Don't Want to Miss a Thing""—Aerosmith",Len Goodman, 9,27,Safe,single_score,Armageddon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Evan & Anna'],1,3,3
493,493,10,Week 5: Movie Week,Evan & Anna,Rumba,"""I Don't Want to Miss a Thing""—Aerosmith",Bruno Tonioli, 9,27,Safe,single_score,Armageddon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Evan & Anna'],1,3,3
496,496,12,Week 10: Finals,Kirstie & Maks,Cha-cha-cha,"""Forget You""—Cee Lo Green",Carrie Ann Inaba,10,30,Runners-up,single_score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Kirstie & Maks'],1,3,3
496,496,12,Week 10: Finals,Kirstie & Maks,Cha-cha-cha,"""Forget You""—Cee Lo Green",Len Goodman, 10,30,Runners-up,single_score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Kirstie & Maks'],1,3,3
496,496,12,Week 10: Finals,Kirstie & Maks,Cha-cha-cha,"""Forget You""—Cee Lo Green",Bruno Tonioli, 10,30,Runners-up,single_score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Kirstie & Maks'],1,3,3
497,497,12,Week 10: Finals,Hines & Kym,Samba,"""Fantasy""—Earth, Wind, and Fire",Carrie Ann Inaba,10,30,Winners,single_score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Hines & Kym'],1,3,3
497,497,12,Week 10: Finals,Hines & Kym,Samba,"""Fantasy""—Earth, Wind, and Fire",Len Goodman, 10,30,Winners,single_score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Hines & Kym'],1,3,3
497,497,12,Week 10: Finals,Hines & Kym,Samba,"""Fantasy""—Earth, Wind, and Fire",Bruno Tonioli, 10,30,Winners,single_score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Hines & Kym'],1,3,3
498,498,6,Week 1,Mario & Karina,Cha-cha-cha,"""Request Line""—The Black Eyed Peas",Carrie Ann Inaba,8,24,,single_score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Mario & Karina'],1,3,3
498,498,6,Week 1,Mario & Karina,Cha-cha-cha,"""Request Line""—The Black Eyed Peas",Len Goodman, 8,24,,single_score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Mario & Karina'],1,3,3
498,498,6,Week 1,Mario & Karina,Cha-cha-cha,"""Request Line""—The Black Eyed Peas",Bruno Tonioli, 8,24,,single_score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Mario & Karina'],1,3,3
499,499,6,Week 1,Steve & Anna,Foxtrot,"""(Up a) Lazy River""—Bobby Darin",Carrie Ann Inaba,6,18,,single_score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Steve & Anna'],1,3,3
499,499,6,Week 1,Steve & Anna,Foxtrot,"""(Up a) Lazy River""—Bobby Darin",Len Goodman, 6,18,,single_score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Steve & Anna'],1,3,3
499,499,6,Week 1,Steve & Anna,Foxtrot,"""(Up a) Lazy River""—Bobby Darin",Bruno Tonioli, 6,18,,single_score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Steve & Anna'],1,3,3
500,500,6,Week 1,Shannon & Derek,Cha-cha-cha,"""Shut Up and Drive""—Rihanna",Carrie Ann Inaba,7,21,,single_score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Shannon & Derek'],1,3,3
500,500,6,Week 1,Shannon & Derek,Cha-cha-cha,"""Shut Up and Drive""—Rihanna",Len Goodman, 7,21,,single_score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Shannon & Derek'],1,3,3
500,500,6,Week 1,Shannon & Derek,Cha-cha-cha,"""Shut Up and Drive""—Rihanna",Bruno Tonioli, 7,21,,single_score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Shannon & Derek'],1,3,3
501,501,5,Week 1,Jennie & Derek,Cha-cha-cha,"""Uptown Girl""—Billy Joel",Carrie Ann Inaba,7,21,Safe,single_score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Jennie & Derek'],1,3,3
501,501,5,Week 1,Jennie & Derek,Cha-cha-cha,"""Uptown Girl""—Billy Joel",Len Goodman, 7,21,Safe,single_score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Jennie & Derek'],1,3,3
501,501,5,Week 1,Jennie & Derek,Cha-cha-cha,"""Uptown Girl""—Billy Joel",Bruno Tonioli, 7,21,Safe,single_score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Jennie & Derek'],1,3,3
502,502,7,Week 1,Misty & Maks,Mambo,"""Black Mambo""—Angel & the Mambokats",Carrie Ann Inaba,7,21,Safe,single_score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Misty & Maks'],1,3,3
502,502,7,Week 1,Misty & Maks,Mambo,"""Black Mambo""—Angel & the Mambokats",Len Goodman, 7,21,Safe,single_score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Misty & Maks'],1,3,3
502,502,7,Week 1,Misty & Maks,Mambo,"""Black Mambo""—Angel & the Mambokats",Bruno Tonioli, 7,21,Safe,single_score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Misty & Maks'],1,3,3
503,503,7,Week 1,Maurice & Cheryl,Mambo,"""I Do the Jerk""—Ryan Shaw",Carrie Ann Inaba,7,21,Safe,single_score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Maurice & Cheryl'],1,3,3
503,503,7,Week 1,Maurice & Cheryl,Mambo,"""I Do the Jerk""—Ryan Shaw",Len Goodman, 7,21,Safe,single_score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Maurice & Cheryl'],1,3,3
503,503,7,Week 1,Maurice & Cheryl,Mambo,"""I Do the Jerk""—Ryan Shaw",Bruno Tonioli, 7,21,Safe,single_score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Maurice & Cheryl'],1,3,3
504,504,7,Week 1,Brooke & Derek,Quickstep,"""Lover, Come Back to Me""—Barbra Streisand",Carrie Ann Inaba,9,26,Safe,single_score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Brooke & Derek'],1,3,3
504,504,7,Week 1,Brooke & Derek,Quickstep,"""Lover, Come Back to Me""—Barbra Streisand",Len Goodman, 8,26,Safe,single_score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Brooke & Derek'],1,3,3
504,504,7,Week 1,Brooke & Derek,Quickstep,"""Lover, Come Back to Me""—Barbra Streisand",Bruno Tonioli, 9,26,Safe,single_score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Brooke & Derek'],1,3,3
505,505,7,Week 1,Cloris & Corky,Mambo,"""Coconut Woman""—Harry Belafonte",Carrie Ann Inaba,6,16,Safe,single_score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Cloris & Corky'],1,3,3
505,505,7,Week 1,Cloris & Corky,Mambo,"""Coconut Woman""—Harry Belafonte",Len Goodman, 5,16,Safe,single_score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Cloris & Corky'],1,3,3
505,505,7,Week 1,Cloris & Corky,Mambo,"""Coconut Woman""—Harry Belafonte",Bruno Tonioli, 5,16,Safe,single_score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Cloris & Corky'],1,3,3
506,506,7,Week 1,Toni & Alec,Quickstep,"""Blue Skies""—Della Reese",Carrie Ann Inaba,8,23,Safe,single_score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Toni & Alec'],1,3,3
506,506,7,Week 1,Toni & Alec,Quickstep,"""Blue Skies""—Della Reese",Len Goodman, 7,23,Safe,single_score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Toni & Alec'],1,3,3
506,506,7,Week 1,Toni & Alec,Quickstep,"""Blue Skies""—Della Reese",Bruno Tonioli, 8,23,Safe,single_score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Toni & Alec'],1,3,3
507,507,7,Week 1,Warren & Kym,Quickstep,"""Ding Dong Daddy of the D-Car Line""—Cherry Poppin' Daddies",Carrie Ann Inaba,7,22,Safe,single_score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Warren & Kym'],1,3,3
507,507,7,Week 1,Warren & Kym,Quickstep,"""Ding Dong Daddy of the D-Car Line""—Cherry Poppin' Daddies",Len Goodman, 7,22,Safe,single_score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Warren & Kym'],1,3,3
507,507,7,Week 1,Warren & Kym,Quickstep,"""Ding Dong Daddy of the D-Car Line""—Cherry Poppin' Daddies",Bruno Tonioli, 8,22,Safe,single_score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Warren & Kym'],1,3,3
508,508,7,Week 1,Ted & Inna,Mambo,"""Mambo Gozon""—Tito Puente",Carrie Ann Inaba,6,19,Eliminated,single_score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Ted & Inna'],1,3,3
508,508,7,Week 1,Ted & Inna,Mambo,"""Mambo Gozon""—Tito Puente",Len Goodman, 6,19,Eliminated,single_score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Ted & Inna'],1,3,3
508,508,7,Week 1,Ted & Inna,Mambo,"""Mambo Gozon""—Tito Puente",Bruno Tonioli, 7,19,Eliminated,single_score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Ted & Inna'],1,3,3
509,509,8,Week 2,Steve & Karina,Quickstep,"""Oh, Boy!""—Buddy Holly",Carrie Ann Inaba,6,17,Safe,single_score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Steve & Karina'],1,3,3
509,509,8,Week 2,Steve & Karina,Quickstep,"""Oh, Boy!""—Buddy Holly",Len Goodman, 5,17,Safe,single_score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Steve & Karina'],1,3,3
509,509,8,Week 2,Steve & Karina,Quickstep,"""Oh, Boy!""—Buddy Holly",Bruno Tonioli, 6,17,Safe,single_score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Steve & Karina'],1,3,3
510,510,8,Week 3,Denise & Maks,Samba,"""Take a Picture""—Filter",Carrie Ann Inaba,5,16,Bottom two,single_score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Denise & Maks'],1,3,3
510,510,8,Week 3,Denise & Maks,Samba,"""Take a Picture""—Filter",Len Goodman, 6,16,Bottom two,single_score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Denise & Maks'],1,3,3
510,510,8,Week 3,Denise & Maks,Samba,"""Take a Picture""—Filter",Bruno Tonioli, 5,16,Bottom two,single_score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Denise & Maks'],1,3,3
511,511,9,Week 2,Kelly & Louis,Tango,"""Take Me on the Floor""—The Veronicas",Carrie Ann Inaba,6,19,Safe,single_score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Kelly & Louis'],1,3,3
511,511,9,Week 2,Kelly & Louis,Tango,"""Take Me on the Floor""—The Veronicas",Len Goodman, 7,19,Safe,single_score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Kelly & Louis'],1,3,3
511,511,9,Week 2,Kelly & Louis,Tango,"""Take Me on the Floor""—The Veronicas",Bruno Tonioli, 6,19,Safe,single_score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Kelly & Louis'],1,3,3
512,512,9,Week 2,Kathy & Tony,Quickstep,"""Shall We Dance?""—from The King and I",Carrie Ann Inaba,6,18,Eliminated,single_score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Kathy & Tony'],1,3,3
512,512,9,Week 2,Kathy & Tony,Quickstep,"""Shall We Dance?""—from The King and I",Len Goodman, 6,18,Eliminated,single_score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Kathy & Tony'],1,3,3
512,512,9,Week 2,Kathy & Tony,Quickstep,"""Shall We Dance?""—from The King and I",Bruno Tonioli, 6,18,Eliminated,single_score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Kathy & Tony'],1,3,3
513,513,9,Week 2,Mark & Lacey,Quickstep,"""King of Swing""—Big Bad Voodoo Daddy",Carrie Ann Inaba,7,21,Safe,single_score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Mark & Lacey'],1,3,3
513,513,9,Week 2,Mark & Lacey,Quickstep,"""King of Swing""—Big Bad Voodoo Daddy",Len Goodman, 7,21,Safe,single_score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Mark & Lacey'],1,3,3
513,513,9,Week 2,Mark & Lacey,Quickstep,"""King of Swing""—Big Bad Voodoo Daddy",Bruno Tonioli, 7,21,Safe,single_score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Mark & Lacey'],1,3,3
514,514,9,Week 2,Mýa & Dmitry,Jive,"""Would You...?""—Touch and Go",Carrie Ann Inaba,9,27,Safe,single_score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Mýa & Dmitry'],1,3,3
514,514,9,Week 2,Mýa & Dmitry,Jive,"""Would You...?""—Touch and Go",Len Goodman, 9,27,Safe,single_score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Mýa & Dmitry'],1,3,3
514,514,9,Week 2,Mýa & Dmitry,Jive,"""Would You...?""—Touch and Go",Bruno Tonioli, 9,27,Safe,single_score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Mýa & Dmitry'],1,3,3
515,515,9,Week 2,Tom & Cheryl,Tango,"""Por una Cabeza""—The Tango Project",Carrie Ann Inaba,6,18,Safe,single_score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Tom & Cheryl'],1,3,3
515,515,9,Week 2,Tom & Cheryl,Tango,"""Por una Cabeza""—The Tango Project",Len Goodman, 6,18,Safe,single_score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Tom & Cheryl'],1,3,3
515,515,9,Week 2,Tom & Cheryl,Tango,"""Por una Cabeza""—The Tango Project",Bruno Tonioli, 6,18,Safe,single_score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Tom & Cheryl'],1,3,3
516,516,9,Week 2,Donny & Kym,Jive,"""Secret Agent Man""—Johnny Rivers",Carrie Ann Inaba,8,25,Safe,single_score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Donny & Kym'],1,3,3
